AgentID,Date,Year,Month,Day,TotalEventsManaged,TotalContractsManaged,TotalRevenueGenerated,TotalAgentPayments,HighestRevenueEvent,AvgArtistsPerYear,TotalStatesCovered,TotalCitiesCovered,AdjustedLeaded,Quarter
104,2017-11-13,2017,11,13,1,1,1150.0,23000.0,1150.0,30.83,1,1,0,2017Q4
104,2017-11-17,2017,11,17,1,1,700.0,14000.0,700.0,30.83,1,1,0,2017Q4
104,2017-11-21,2017,11,21,1,1,1250.0,25000.0,1250.0,30.83,1,1,0,2017Q4
104,2017-12-07,2017,12,7,1,1,2250.0,56250.0,2250.0,30.83,1,1,0,2017Q4
104,2017-12-27,2017,12,27,3,3,2650.0,66250.0,1250.0,30.83,1,3,0,2017Q4
104,2018-01-03,2018,1,3,1,1,550.0,13750.0,550.0,30.83,1,1,0,2018Q1
104,2018-01-11,2018,1,11,1,1,950.0,23750.0,950.0,30.83,1,1,0,2018Q1
104,2018-01-22,2018,1,22,1,1,400.0,10000.0,400.0,30.83,1,1,0,2018Q1
104,2018-02-05,2018,2,5,2,2,2940.0,73500.0,1600.0,30.83,1,2,0,2018Q1
104,2018-02-09,2018,2,9,1,1,700.0,17500.0,700.0,30.83,1,1,0,2018Q1
104,2018-02-14,2018,2,14,1,1,1400.0,35000.0,1400.0,30.83,1,1,0,2018Q1
104,2018-02-15,2018,2,15,1,1,450.0,11250.0,450.0,30.83,1,1,0,2018Q1
104,2018-02-20,2018,2,20,2,2,1070.0,26750.0,620.0,30.83,1,2,0,2018Q1
104,2018-02-23,2018,2,23,1,1,1040.0,31200.0,1040.0,30.83,1,1,0,2018Q1
104,2018-02-26,2018,2,26,2,2,1990.0,59700.0,1290.0,30.83,1,2,0,2018Q1
104,2018-03-14,2018,3,14,1,1,590.0,17700.0,590.0,30.83,1,1,0,2018Q1
104,2018-03-15,2018,3,15,1,1,800.0,24000.0,800.0,30.83,1,1,0,2018Q1
104,2018-03-19,2018,3,19,1,1,940.0,28200.0,940.0,30.83,1,1,0,2018Q1
104,2018-04-23,2018,4,23,1,1,800.0,24000.0,800.0,30.83,1,1,0,2018Q2
104,2018-05-21,2018,5,21,1,1,1150.0,34500.0,1150.0,30.83,1,1,0,2018Q2
104,2018-05-22,2018,5,22,1,1,1250.0,43750.0,1250.0,30.83,1,1,0,2018Q2
104,2018-05-23,2018,5,23,1,1,1050.0,36750.0,1050.0,30.83,1,1,0,2018Q2
104,2018-06-05,2018,6,5,1,1,850.0,29750.0,850.0,30.83,1,1,0,2018Q2
104,2018-06-06,2018,6,6,1,1,1750.0,59500.0,1700.0,30.83,1,1,0,2018Q2
104,2018-06-14,2018,6,14,1,1,950.0,31500.0,900.0,30.83,1,1,0,2018Q2
104,2018-06-22,2018,6,22,1,1,950.0,31500.0,900.0,30.83,1,1,0,2018Q2
104,2018-06-25,2018,6,25,1,1,1250.01,43750.35,1250.01,30.83,1,1,0,2018Q2
104,2018-06-27,2018,6,27,2,2,1800.0,61250.0,950.0,30.83,1,2,0,2018Q2
104,2018-07-05,2018,7,5,1,1,200.0,7000.0,200.0,30.83,1,1,0,2018Q3
104,2018-07-23,2018,7,23,2,2,2690.0,92400.0,1490.0,30.83,1,1,0,2018Q3
104,2018-07-30,2018,7,30,2,2,1850.0,63000.0,1200.0,30.83,1,2,0,2018Q3
104,2018-08-13,2018,8,13,2,2,1450.0,49000.0,700.0,30.83,1,2,0,2018Q3
104,2018-08-14,2018,8,14,1,1,2125.0,74375.0,2125.0,30.83,1,1,0,2018Q3
104,2018-08-15,2018,8,15,1,1,1190.0,41650.0,1190.0,30.83,1,1,0,2018Q3
104,2018-08-16,2018,8,16,1,1,440.0,15400.0,440.0,30.83,1,1,0,2018Q3
104,2018-08-21,2018,8,21,1,1,180.0,6300.0,180.0,30.83,1,1,0,2018Q3
104,2018-08-23,2018,8,23,1,1,425.0,17000.0,425.0,30.83,1,1,0,2018Q3
104,2018-08-24,2018,8,24,1,1,912.5,34500.0,862.5,30.83,1,1,0,2018Q3
104,2018-09-05,2018,9,5,2,2,700.0,28000.0,500.0,30.83,1,1,0,2018Q3
104,2018-09-11,2018,9,11,1,1,100.0,4000.0,100.0,30.83,1,1,0,2018Q3
104,2018-09-21,2018,9,21,2,2,1500.0,58000.0,1150.0,30.83,1,2,0,2018Q3
104,2018-09-27,2018,9,27,1,1,1200.0,46000.0,1150.0,30.83,1,1,0,2018Q3
104,2018-09-28,2018,9,28,1,1,400.0,16000.0,400.0,30.83,1,1,0,2018Q3
104,2018-10-01,2018,10,1,1,1,450.0,18000.0,450.0,30.83,1,1,0,2018Q4
104,2018-10-18,2018,10,18,1,1,350.0,14000.0,350.0,30.83,1,1,0,2018Q4
104,2018-10-19,2018,10,19,1,1,150.0,6000.0,150.0,30.83,1,1,0,2018Q4
104,2018-10-22,2018,10,22,1,2,940.0,37600.0,500.0,30.83,1,1,0,2018Q4
104,2018-10-24,2018,10,24,2,2,900.0,36000.0,250.0,30.83,1,1,0,2018Q4
104,2018-10-26,2018,10,26,1,1,830.0,31200.0,780.0,30.83,1,1,0,2018Q4
104,2018-11-09,2018,11,9,1,1,1390.0,55600.0,1390.0,30.83,1,1,0,2018Q4
104,2018-11-15,2018,11,15,1,1,130.0,5200.0,130.0,30.83,1,1,0,2018Q4
104,2018-11-21,2018,11,21,1,1,800.0,30000.0,750.0,30.83,1,1,0,2018Q4
104,2018-12-03,2018,12,3,1,1,645.0,25800.0,645.0,30.83,1,1,0,2018Q4
104,2018-12-07,2018,12,7,1,1,200.0,8000.0,200.0,30.83,1,1,0,2018Q4
104,2018-12-11,2018,12,11,1,1,2050.0,80000.0,2000.0,30.83,1,1,0,2018Q4
104,2018-12-12,2018,12,12,1,1,1000.0,40000.0,1000.0,30.83,1,1,0,2018Q4
104,2018-12-13,2018,12,13,1,1,500.0,20000.0,500.0,30.83,1,1,0,2018Q4
104,2018-12-18,2018,12,18,1,1,800.0,30000.0,750.0,30.83,1,1,0,2018Q4
104,2018-12-31,2018,12,31,1,1,1290.0,51600.0,1290.0,30.83,1,1,1,2018Q4
104,2019-01-11,2019,1,11,2,2,2540.0,99600.0,1290.0,30.83,1,2,0,2019Q1
104,2019-01-14,2019,1,14,1,1,600.0,24000.0,600.0,30.83,1,1,0,2019Q1
104,2019-01-17,2019,1,17,2,2,2050.0,78000.0,1050.0,30.83,1,2,0,2019Q1
104,2019-01-18,2019,1,18,1,1,2900.0,112000.0,1400.0,30.83,1,1,0,2019Q1
104,2019-01-25,2019,1,25,2,2,3140.0,123600.0,1700.0,30.83,2,2,0,2019Q1
104,2019-01-28,2019,1,28,1,1,1150.0,44000.0,1100.0,30.83,1,1,0,2019Q1
104,2019-02-01,2019,2,1,1,1,2550.0,100000.0,2500.0,30.83,1,1,0,2019Q1
104,2019-02-06,2019,2,6,1,1,1350.0,54000.0,1350.0,30.83,1,1,0,2019Q1
